id,Elecciones,Partido,Porcentaje,Votos,Participacion,Electores,Votantes,Bancas
"BUENOS AIRES","GENERALES 2023","UNION POR LA PATRIA","43.65","3993120","77.43","13124435","10161648","16"
"BUENOS AIRES","GENERALES 2023","JUNTOS POR EL CAMBIO","26.58","2431634","77.43","13124435","10161648","9"
"BUENOS AIRES","GENERALES 2023","LA LIBERTAD AVANZA","25.45","2327998","77.43","13124435","10161648","9"
"BUENOS AIRES","GENERALES 2023","BLANCO","9.27","940856","77.43","13124435","10161648",""
"BUENOS AIRES","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","4.33","396221","77.43","13124435","10161648","1"
"BUENOS AIRES","GENERALES 2023","NULO","0.58","58844","77.43","13124435","10161648",""
"BUENOS AIRES","GENERALES 2023","IMPUGNADO","0.04","4548","77.43","13124435","10161648",""
"CATAMARCA","GENERALES 2023","UNION POR LA PATRIA","52.51","98315","68.88","340606","234603","2"
"CATAMARCA","GENERALES 2023","LA LIBERTAD AVANZA","25.75","48213","68.88","340606","234603",""
"CATAMARCA","GENERALES 2023","JUNTOS POR EL CAMBIO","21.74","40703","68.88","340606","234603",""
"CATAMARCA","GENERALES 2023","BLANCO","19.43","45491","68.88","340606","234603",""
"CATAMARCA","GENERALES 2023","NULO","0.55","1298","68.88","340606","234603",""
"CATAMARCA","GENERALES 2023","IMPUGNADO","0.06","148","68.88","340606","234603",""
"CHACO","GENERALES 2023","UNION POR LA PATRIA","45.53","301761","71.97","1000094","719787","1"
"CHACO","GENERALES 2023","LA LIBERTAD AVANZA","28.64","189806","71.97","1000094","719787","1"
"CHACO","GENERALES 2023","JUNTOS POR EL CAMBIO","25.83","171189","71.97","1000094","719787","1"
"CHACO","GENERALES 2023","BLANCO","7.31","52553","71.97","1000094","719787",""
"CHACO","GENERALES 2023","NULO","0.49","3515","71.97","1000094","719787",""
"CHACO","GENERALES 2023","IMPUGNADO","0.08","577","71.97","1000094","719787",""
"CHUBUT","GENERALES 2023","LA LIBERTAD AVANZA","38.03","116723","73.8","474701","350317","1"
"CHUBUT","GENERALES 2023","UNION POR LA PATRIA","32.92","101039","73.8","474701","350317","1"
"CHUBUT","GENERALES 2023","JUNTOS POR EL CAMBIO CHUBUT","23.01","70634","73.8","474701","350317","1"
"CHUBUT","GENERALES 2023","BLANCO","10.78","37770","73.8","474701","350317",""
"CHUBUT","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","6.04","18538","73.8","474701","350317",""
"CHUBUT","GENERALES 2023","NULO","1.47","5162","73.8","474701","350317",""
"CHUBUT","GENERALES 2023","IMPUGNADO","0.11","378","73.8","474701","350317",""
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","JUNTOS POR EL CAMBIO","42.61","761015","75.41","2526676","1905302","6"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","UNION POR LA PATRIA","31.55","563481","75.41","2526676","1905302","4"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","LA LIBERTAD AVANZA","20.44","365108","75.41","2526676","1905302","2"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","5.41","96554","75.41","2526676","1905302",""
